Nome_arquivo	Temperatura_inicial	SAMAX	Qtd_Reaquecimentos	Metodo_Vizinho	Função_Objetivo	Iteração
1	100	10	7	1	68	92
1	100	10	7	1	67	93
1	100	10	7	1	67	94
1	100	10	7	1	67	95
1	100	10	7	1	66	96
1	100	10	7	1	63	97
1	100	10	7	1	68	98
1	100	10	7	1	67	99
1	100	10	7	1	68	100
1	100	10	7	2	66	1
1	100	10	7	2	68	2
1	100	10	7	2	66	3
1	100	10	7	2	66	4
1	100	10	7	2	66	5
1	100	10	7	2	68	6
1	100	10	7	2	66	7
1	100	10	7	2	64	8
1	100	10	7	2	66	9
1	100	10	7	2	67	10
1	100	10	7	2	68	11
1	100	10	7	2	65	12
1	100	10	7	2	65	13
1	100	10	7	2	66	14
1	100	10	7	2	68	15
1	100	10	7	2	67	16
1	100	10	7	2	67	17
1	100	10	7	2	63	18
1	100	10	7	2	69	19
1	100	10	7	2	65	20
1	100	10	7	2	65	21
1	100	10	7	2	67	22
1	100	10	7	2	65	23
1	100	10	7	2	66	24
1	100	10	7	2	68	25
1	100	10	7	2	68	26
1	100	10	7	2	68	27
1	100	10	7	2	66	28
1	100	10	7	2	65	29
1	100	10	7	2	67	30
1	100	10	7	2	66	31
1	100	10	7	2	65	32
1	100	10	7	2	67	33
1	100	10	7	2	65	34
1	100	10	7	2	64	35
1	100	10	7	2	65	36
1	100	10	7	2	66	37
1	100	10	7	2	68	38
1	100	10	7	2	61	39
1	100	10	7	2	66	40
1	100	10	7	2	66	41
1	100	10	7	2	68	42
1	100	10	7	2	66	43
1	100	10	7	2	68	44
1	100	10	7	2	65	45
1	100	10	7	2	66	46
1	100	10	7	2	67	47
1	100	10	7	2	68	48
1	100	10	7	2	64	49
1	100	10	7	2	64	50
1	100	10	7	2	67	51
1	100	10	7	2	66	52
1	100	10	7	2	67	53
1	100	10	7	2	65	54
1	100	10	7	2	68	55
1	100	10	7	2	68	56
1	100	10	7	2	64	57
1	100	10	7	2	63	58
1	100	10	7	2	65	59
1	100	10	7	2	68	60
1	100	10	7	2	66	61
1	100	10	7	2	69	62
1	100	10	7	2	66	63
1	100	10	7	2	62	64
1	100	10	7	2	67	65
1	100	10	7	2	67	66
1	100	10	7	2	68	67
1	100	10	7	2	65	68
1	100	10	7	2	67	69
1	100	10	7	2	69	70
1	100	10	7	2	65	71
1	100	10	7	2	65	72
1	100	10	7	2	67	73
1	100	10	7	2	70	74
1	100	10	7	2	65	75
1	100	10	7	2	63	76
1	100	10	7	2	67	77
1	100	10	7	2	65	78
1	100	10	7	2	69	79
1	100	10	7	2	66	80
1	100	10	7	2	62	81
1	100	10	7	2	66	82
1	100	10	7	2	65	83
1	100	10	7	2	68	84
1	100	10	7	2	67	85
1	100	10	7	2	65	86
1	100	10	7	2	63	87
1	100	10	7	2	67	88
1	100	10	7	2	64	89
1	100	10	7	2	66	90
1	100	10	7	2	64	91
1	100	10	7	2	64	92
1	100	10	7	2	67	93
1	100	10	7	2	66	94
1	100	10	7	2	67	95
1	100	10	7	2	67	96
1	100	10	7	2	68	97
1	100	10	7	2	63	98
1	100	10	7	2	64	99
1	100	10	7	2	66	100
1	100	10	14	1	63	1
1	100	10	14	1	66	2
1	100	10	14	1	64	3
1	100	10	14	1	66	4
1	100	10	14	1	67	5
1	100	10	14	1	65	6
1	100	10	14	1	65	7
1	100	10	14	1	67	8
1	100	10	14	1	61	9
1	100	10	14	1	64	10
1	100	10	14	1	65	11
1	100	10	14	1	66	12
1	100	10	14	1	68	13
1	100	10	14	1	65	14
1	100	10	14	1	68	15
1	100	10	14	1	66	16
1	100	10	14	1	65	17
1	100	10	14	1	66	18
1	100	10	14	1	66	19
1	100	10	14	1	67	20
1	100	10	14	1	68	21
1	100	10	14	1	63	22
1	100	10	14	1	66	23
1	100	10	14	1	65	24
1	100	10	14	1	67	25
1	100	10	14	1	67	26
1	100	10	14	1	65	27
1	100	10	14	1	69	28
1	100	10	14	1	65	29
1	100	10	14	1	65	30
1	100	10	14	1	66	31
1	100	10	14	1	66	32
1	100	10	14	1	66	33
1	100	10	14	1	66	34
1	100	10	14	1	66	35
1	100	10	14	1	66	36
1	100	10	14	1	66	37
1	100	10	14	1	66	38
1	100	10	14	1	67	39
1	100	10	14	1	63	40
1	100	10	14	1	66	41
1	100	10	14	1	65	42
1	100	10	14	1	67	43
1	100	10	14	1	66	44
1	100	10	14	1	68	45
1	100	10	14	1	66	46
1	100	10	14	1	66	47
1	100	10	14	1	67	48
1	100	10	14	1	65	49
1	100	10	14	1	67	50
1	100	10	14	1	67	51
1	100	10	14	1	67	52
1	100	10	14	1	66	53
1	100	10	14	1	65	54
1	100	10	14	1	65	55
1	100	10	14	1	67	56
1	100	10	14	1	66	57
1	100	10	14	1	67	58
1	100	10	14	1	65	59
1	100	10	14	1	64	60
1	100	10	14	1	67	61
1	100	10	14	1	66	62
1	100	10	14	1	67	63
